法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,テレワーカーの業務内容を把握する「HeartCore TaskMining」を無償でご提供,,企業等,情報通信,,,,,,ハートコア株式会社は、政府の新型コロナウイルスの感染拡大に伴うテレワーク推奨宣言を受け、PCの操作ログを収集し従業員ひとりひとりの業務内容を可視化するための新製品「HeartCore TaskMining」の無償提供を開始します。 テレワークを導入したものの、セキュリティ問題やコミュニケーション不全そして労務管理問題など、今後のテレワーク推進にあたり解決すべき課題が見えてきた企業も多いでしょう。「HeartCore TaskMining」は、各PCの操作ログを収集し従業員ひとりひとりがどの時間にどのアプリケーションを使いどのような作業をしていたか、詳細に可視化します。これにより、遠隔地で勤務している従業員の1日の業務内容を把握することができます。また、従業員のWebサイトの閲覧を制限したり、メールやファイルの取り扱いを監視したり、社内セキュリティに配慮した運用も可能となります。,,,2020/3/11,,新型コロナウイルス(COVID-19)収束宣言まで,,https://www.heartcore.co.jp/lp/taskmining.html,ハートコア株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,,,（一社）日本テレワーク協会,,
,,,,テレワーク導入診断,,企業等,情報通信,,,,,,「自社の業務、システムをどのようにテレワーク化するか」の診断を行います。,,,,,,,https://ties.jp/,株式会社タイズ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,地方版IoT推進ラボ事務局,,
,,,,テレワーク導入支援,,企業等,情報通信,,,,,,社内業務のテレワーク化指導、自宅などからの社内アクセスの仕組みを提供,,,,,,,https://ties.jp/,株式会社タイズ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,,,地方版IoT推進ラボ事務局,,
,,,,テレワーク環境導入コンサル,,企業等,情報通信,,,,,,テレワーク環境導入のためのコンサルティングです。主に中小企業に対し、新型コロナウイルス感染防止対策のためのテレワーク環境導入に困っている方への相談がメインです。基本はメールベースでの対応となります。,,,,未定,新型コロナウイルス対策期間限定,,https://www.lac.co.jp/,株式会社ラック,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク環境導入コンサル,,,,,,,,割引,,,地方版IoT推進ラボ事務局,,
,,,,音声通話システム＿ローカル版,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",情報通信,,,,,,人の声と３Dキャラクターが同期しながらPC越しに対話ができる。（動画や図も表示可）受付対応など非接触型で感染を予防できる。,,,2020/3/1,,終了日予定なし。6ヵ月単位継続利用可,,https://f-bond.co.jp/ict3d/actshow.php,有限会社BOND,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,非接触型コミュニケーションツール,,,,2020-04-13,,,,割引,コミュニケーション支援,,地方版IoT推進ラボ事務局,,
,,,,Web会議システム,,企業等,情報通信,,,,,,テレワークを導入する企業に対し、Web会議システムMicrosoftTeamsの導入支援、運用支援を提供する,,,,,,,https://www.cbm.co.jp/,中部事務機株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,ビデオ会議,,（一社）全国地域情報産業団体連合会,,
,,,,TV会議システム,,企業等,情報通信,,,,,,"テレワークを導入する企業に対し、Panasonic製”HDコム”TV会議システムの導入支援、運用支援を提供する。
また、本TV会議システムとWeb会議システムMicrosoftTeamsとを接続するサービスの導入支援、運用支援も提供する",,,,,,,https://www.cbm.co.jp/,中部事務機株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,ビデオ会議,,（一社）全国地域情報産業団体連合会,,
,,,,TV会議システム,,企業等,情報通信,,,,,,テレワークを導入する企業に対し、オムニラボ製”オムニロボ”TV会議システムの導入支援、運用支援を提供する。,,,,,,,https://www.cbm.co.jp/,中部事務機株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,,,（一社）全国地域情報産業団体連合会,,
,,,,各種研修のWeb開催,,"企業等, 行政機関",情報通信,,,,,,"企業、行政期間への各種研修をWeb会議システムで提供する。通常の集合型研修では１回あたり「250,000円（税抜）＋実費交通費」のところを「90,000円（税抜）」で実施。（社員・職員のスキルアップ研修、マーケティングなど各種テーマ別研修）",,,,,,,https://www.go-mirai.jp,みらい株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,ビデオ会議,,テレワーク・デイズ登録企業,,
,,,,人事・総務向け情報ポータルサイト「＠人事」https://at-jinji.jp/,,企業等,その他,,,,,,"これまで＠人事ONLINEで公開してきた、人事・総務担当者、経営者向けのテレワークの導入に際して知っておくべきメリットや注意点、助成金や支援制度などの役立つ情報をまとめています。閲覧はどなたでも自由にできます。ぜひご活用ください。　
■テレワークのメリット・デメリットから導入の手順、助成金や支援情報まで
新型コロナウイルス対策で再注目！ 「テレワーク」導入時に知るべき注意点（まとめ記事）https://at-jinji.jp/blog/32367/",,,,,,,https://at-jinji.jp/blog/32367/,株式会社イーディアス,,,,,その他,,,,,新型コロナウイルス感染症,テレワークに関するノウハウ提供,,,,2020-03-12,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,Smart Attack,,"医療機関, 福祉施設",ワークスタイル（テレワーク含む）,,,,,,スマートフォン・タブレット（iOS・Android）を用い、リモートワーカーが業務報告を入力するだけで、自動的に報告書とデータ化が実現できるクラウドサービス。　既存のExcel帳票をそのままご利用可能。（１帳票の適用を作成支援しますので、お気軽にご相談ください）,,,2020/3/16,,６月末までを予定していますが、状況判断により延長も検討します。,,https://www.smartattack.jp/,株式会社G-Smart,,,,,サービス提供,,,,,新型コロナウイルス感染症,業務報告アプリ,,,,2020-03-13,,,,無料,遠隔作業環境,,その他,,
,,,,Cisco Webex Meetings 90日間無償支援プログラム,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,Cisco Webex Meetings（ウェブ会議システム）を90日間にわたってユーザー数無制限で利用いただける無償支援プログラムです。,,,2020/2/25,,終了時期未定,,https://www.cisco.com/c/m/ja_jp/solutions/collaboration/webex90days.html?dti,シスコシステムズ合同会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-13,,,,無料,ビデオ会議,,テレワーク・デイズ登録企業,,
,,,,ライブ配信サービス,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション, その他",,,,,,イベント・セミナー・会社説明、株主総会などのライブ中継配信を行います。会場でのカメラ収録から配信機材のオペレーション、配信サーバーを一括で対応します。,,,,,,,https://www.stream.co.jp/service/live/live/,株式会社Jストリーム,,,,,サービス提供,,,,,新型コロナウイルス感染症,ライブ配信,,,,2020-03-13,,,,その他,イベント支援,,テレコムサービス協会（テレサ協）,,
,,,,J-Stream Equipmedia,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"動画コンテンツの管理・マルチデバイスでの配信・視聴解析を一元管理する動画配信プラットフォーム。ライブ、オンデマンドの両方に対応しセキュアな配信が可能。
動画の簡易編集、自動字幕作成/翻訳などの動画内製機能も利用可能。",,,,,,,https://www.stream.co.jp/service/platform/equipmedia/,株式会社Jストリーム,,,,,サービス提供,,,,,新型コロナウイルス感染症,動画配信,,,,2020-03-13,,,,その他,イベント支援,,テレコムサービス協会（テレサ協）,,
,,,,Soi_期間限定！１日ワンコインで利用プラン！,,"個人, 企業等, 教育機関, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション, その他",,,,,,"「Soi」は京都府南丹市にある、企業向けのテレワークオフィスです！
この度の新型コロナウイルスの影響により、通常勤務が困難となりお困りの方々に
対する支援策として、一部ルームをコワーキングスペースとして期間限定で開放する
ことに致しました。
利用料は、１日ワンコインから（500円）！　
※駐車場あり、冷暖房・Wi-Fi設備完備 ",,,2020/3/13,,終了時期未定（新型コロナウイルスの騒動が収まるまで）,,https://soi.rebs.jp/,地域ビジネス研究会,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,田舎・ふるさとテレワーク,,,,2020-03-13,,,,割引,オフィスなどの空間,,その他,,
,,,,テレワーク導入相談窓口,,企業等,ワークスタイル（テレワーク含む）,,,,,,"テレワーク導入に関する相談窓口を設けております。
現在の業務内容をお伺いし、どの部分がICT化できるのか提案いたしますので、お気軽にご相談ください。",,,2020/3/1,,終了時期未定,,https://dcj.jp/2020/02/20/telework/,株式会社ドリームクラフト(愛媛/新居浜),,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-13,,,,無料,,,ICT CONNECT21,,
,,,,キーボード検定サイト　キーボー島アドベンチャー,,"個人, 教育機関",教育・学習支援,,,,,,"無料の小学生向けのキーボード検定サイト「キーボー島アドベンチャー」を
ご家庭でもご利用いただけるようにいたします。在宅等でのキーボード学習
が可能となります。",,,2020/3/9,,"弊社キーボー島アドベンチャーサイトをご利用いただく場合…終了時期未定
特設ページをご利用いただく場合…2020/04/05まで
詳しくは弊社HPよりご確認ください。",,https://www.suzukisoft.co.jp/news/2020/05/,スズキ教育ソフト株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-13,,,,無料,オンライン授業,,全国地域情報化推進協会（APPLIC）,,
,,,,net-Typer,,個人,ワークスタイル（テレワーク含む）,,,,,,在宅ワーカー向けデーター入力システムをご提供させて頂き、どんな方でも自宅にてご登録して頂ければ、作業できる弊社のサービスです。,,,2020/3/13,,無償にてご提供させて頂きますので、終了時期未定です。,,https://www.net-typer.com/,ニューコン株式会社,,,,,,,,サービス提供,,新型コロナウイルス感染症,在宅ワーカー向けデーター入力システム,,,,2020-03-13,,,,無料,,,日本テレワーク協会,,
,,,,都道府県別新型コロナウイルス感染者数マップ,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",その他,,,,,,厚生労働省や各自治体の公表情報を、独自に一元化し、グラフや地図(地理情報システム/GIS)を用いて可視化することで、一般にわかりやすく伝えるサイトを提供しています。可視化のために当社が収集加工したCSVファイルは、CCライセンスの下、無償で提供しています。,,,2020/2/16,,終了時期未定,,https://gis.jag-japan.com/covid19jp/,ジャッグジャパン株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,情報提供（自治体発表の可視化）,,,,2020-03-13,,,,無料,,,その他,,
,,,,在宅ワーカー向けデーター入力システム,,個人,ワークスタイル（テレワーク含む）,,,,,,弊社から提供している専用のＵＲＬに登録して頂き、在宅ワーカー向けのデーター入力システムをご利用して頂けます。,,,,,,,https://www.net-typer.com/,ニューコン株式会社,,,,,,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-13,,,,無料,,,日本テレワーク協会,,
,,,,リモートワーク、Web会議システム導入相談窓口,,企業等,ワークスタイル（テレワーク含む）,,,,,,リモートワーク、Web会議システム導入等に関する緊急相談窓口を開設！(無料Web会議アプリの導入手順・操作方法やIT活用したリモートワーク環境整備のガイド）,,,2020/3/10,,未定,,https://www.isit.or.jp/news/tvc/,公益財団法人 九州先端科学技術研究所,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-13,,,,無料,ビデオ会議,,Code for Japan,,
,,,,Office 365 E1トライアル,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,トライアルとなっておりますが、Office 365のトライアルは有償版と全く同じ内容が提供されています。Teamsを含むOffice 365 E1の全機能をお使い頂けます。,,,2020/3/5,,利用から6か月間,,https://transform.microsoft.com/customer-trials?tab=o365e1trial,日本マイクロソフト株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-13,,,,無料,遠隔作業環境,,全国地域情報化推進協会（APPLIC）,,
,,,,セキュア リモートワーク相談窓口,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,電話またはWebにて、リモートワーク導入検討に向けたご相談に応じさせていただくご相談窓口。,,,2020/3/2,,,,https://www.microsoft.com/ja-jp/biz/security/remote-work.aspx,日本マイクロソフト株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-13,,,,無料,,,全国地域情報化推進協会（APPLIC）,,
,,,,「Music Blocks」を使ったプログラミング・音楽・算数の学習,,個人(小学生・中学生向け),教育・学習支援,,,,,,「Music Blocks」は音楽と算数とプログラミングをいっしょに学べる学習ソフトです。もともと広く無料でご利用いただけるものですが、以下の関連する学習・教育コンテンツも合わせて無料でご利用いただけます。4月から小学校で必修化するプログラミング学習を一足はやく体験する機会としてもご利用いただけます。小学生と中学生の児童生徒に最適な内容です。すべてMusic Blocks公式サイトからご参照ください。,,,,,,,https://gakken-steam.jp/music_blocks/,株式会社学研プラス/株式会社steAm/Remake Music LLC,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン教育,,,,2020-03-13,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,オンラインお片付け相談,,個人,生活関連サービス、娯楽,,,,,,オンライン（パソコンや電話を使った）でお片付け相談をスタートいたします。臨時休校中にこどもと一緒にお片付けを行う方法や、テレワーク・在宅での仕事をスムーズに行う環境づくり等、整理収納のお悩みに整理収納アドバイザーがお答えします。,,,2020/3/6,,終了時期未定,,http://cozyroom.info/,cozyroom,,,,,,,,サービス提供,,新型コロナウイルス感染症,家事支援,,,,2020-03-14,,,,割引,,,その他,,
,,,,簡単テレビ会議システム　LoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"テレワーク・在宅勤務制度について新たに導入を検討されている企業に、スタートパックとして、簡単テレビ会議システムLoopGateを、『4拠点　月額費用19,800円（税別）～』で提供します。",,,2020/3/3,,,,https://loopgate.jp/information/release/3185/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-14,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,簡単テレビ会議システム　LoopGate,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,新型コロナウイルスの感染拡大の影響により、中止や延期を予定されておりますイベントへ、簡単テレビ会議システムLoopGateを活用した支援ソリューションのサポート体制を強化します。,,,2020/3/6,,,,https://loopgate.jp/information/release/3213/,ギンガシステム株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-14,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,番組作成ツールPCアプリ版,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）, 医療、福祉, 生活関連サービス、娯楽, 宿泊、飲食サービス, コミュニケーション",,,,,,独自AIの開発により誰でも簡単迅速に番組コンテンツを作成できるため、非接触型で24時間人に代わって親切丁寧に動画で伝えるツールとして有用性が高い。既に企業研修・大学などで採用されている。,,,2020/3/1,,相談,,https://f-bond.co.jp/trial_download/index_hoya.php,有限会社BOND,,,,,サービス提供,,,,,新型コロナウイルス感染症,アバター,,,,2020-03-16,,,,割引,,,地方版IoT推進ラボ事務局,,
,,,,番組作成ツールWEB版,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）, 医療、福祉, 生活関連サービス、娯楽, 宿泊、飲食サービス, コミュニケーション",,,,,,弊社「番組作成ツールPCアプリ版」の簡易機能版。スマフォなど、モバイル端末から何時でも何処でも誰でも簡単迅速に番組コンテンツが作成でき、非接触型で人に代わって伝えるツールとして有用性が高い。,,,2020/3/1,,相談,,https://f-bond.co.jp/lite_entry/index.php,有限会社BOND,,,,,サービス提供,,,,,新型コロナウイルス感染症,アバター,,,,2020-03-16,,,,割引,,,地方版IoT推進ラボ事務局,,
,,,,番組作成ツール組込用開発キット,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）, 医療、福祉, 生活関連サービス、娯楽, コミュニケーション",,,,,,データベース連携で繰り返し何度でも最新情報を無人（全自動）で番組化でき、人に代わって伝える分野に強い。（配信例URL：https://f-bond.co.jp/tool/open_ichiba_movie.php?movieFile=.mp4）,,,2020/3/1,,相談,,https://f-bond.co.jp/ict3d/api.php,有限会社BOND,,,,,サービス提供,,,,,新型コロナウイルス感染症,アバター,,,,2020-03-16,,,,割引,,,地方版IoT推進ラボ事務局,,
,,,,クラウド型顧客管理・営業支援システム,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,クラウド型業務システム、導入・構築支援サービス,,,2020/4/1,,半年程度,,https://www.tera-web.jp/,株式会社テラ・ウェブクリエイト,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワークを可能とするクラウド型業務システム,,,,2020-03-16,,,,割引,,,全国地域情報産業団体連合会,,
,,,,DMZ WORK コワーキング会員,,企業等,ワークスタイル（テレワーク含む）,,,,,,"築地駅から徒歩1分。40,000円/ 月 で24時間365日利用可能なコワーキングスペースを提供しています。照明や音等に配慮し、集中できるスペースとなっています。運営会社で提供するクラウドストレージサービスもお試しでご利用いただけます。",,,2020/3/3,,サービス終了日は未定。会員数が定員に達しましたら終了します。,,https://www.facebook.com/dmzwork/,株式会社ねこじゃらし,,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,コワーキングスペース,,,,2020-03-16,,,,割引,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,コラボノートEX,,教育機関,"教育・学習支援, コミュニケーション",,,,,,"離れた場所にいる学校の友だちや先生と一緒に寄せ書きを作ろう！.
・卒業の寄せ書き
・学年最後の寄せ書き
・先生方から児童生徒に向けての寄せ書き etc…
",,,2020/3/12,,利用開始から2カ月,,https://www.collabonote.com/edu/ex/exyosegaki/,株式会社ジェイアール四国コミュニケーションウェア,,,,,サービス提供,,,,,新型コロナウイルス感染症,協働学習支援ツール,,,,2020-03-16,,,,無料,,,日本教育情報化振興会,,
,,,,「Google でいますぐにできること」,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）",,,,,,離れた場所からの学習や仕事をよりスムーズに進めるアイデアや、お客様との会話をサポートする方法など、仕事や家庭の様々なシーンで、デジタルを活用していますぐ実践できるツールやアイデアを紹介しています。,,,2020/3/9,,プログラムごとにウェブサイトに（https://forjapan.withgoogle.com/intl/ja/）記載,,https://japan.googleblog.com/2020/03/google.html,Google合同会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク、オンライン学習,,,,2020-03-16,,,,無料,オンライン授業,,在日米国商工会議所（ACCJ）,,
,,,,モバイル勤怠管理,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,在宅勤務時の打刻・勤怠管理をお手持ちのモバイル端末から手軽に行うことができます。利用開始から最大60日間無料でご利用いただけます。,,,,,利用開始から最大60日,,https://workstyle.cec-ltd.co.jp/solution/akashi.html,株式会社シーイーシー,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-16,,,,その他,,,日本テレワーク協会,,
,,,,小・中・高校生向け家庭学習用教材「各種プリント教材・アプリ」,,"個人, 教育機関",教育・学習支援,,,,,,新型コロナウイルスの影響による一斉臨時休校のため、ご自宅で過ごす時間が多くなる児童・生徒の皆様に、家庭学習で活用いただける教材を無償で提供いたします。各種プリント教材やアプリをご用意しておりますので、この機会にご活用ください。,,,2020/3/4,,終了時期未定,,https://www.kanken.or.jp/topics/2019/post_44.html,公益財団法人　日本漢字能力検定協会,,,,,現物支給・貸与,,,現物支給・貸与,,新型コロナウイルス感染症,学習プリント（ダウンロード）・アプリ,,,,2020-03-16,,,,無料,教材,,ICT CONNECT21,,
,,,,TIMEWORK,,企業等,ワークスタイル（テレワーク含む）,,,,,,シェアオフィスを展開している加盟店の施設を自由に利用することが出来る、従量課金制のスペースシェアリングサービスです。オープンスペース、会議室、予約席／ブースなど、用途に合わせてさまざまなタイプのスペースを選ぶことができます。,,,,,,,https://www.timework.co.jp/,TIMEWORK合同会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,スペースシェアリングサービス,,,,2020-03-17,,,,その他,オフィスなどの空間,,その他,,
,,,,JECTOR クラウドストレージ,,"企業等, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"テレワークを推進する企業様を支援！遠隔で導入までサポート！
JECTORはクラウドを経由して、大容量データをどこからでも適切な権限で共有できます。
あらゆる映像フォーマットに対応しており、動画・静止画に直接指示が書き込めます。",,,2020/3/4,,終了時期未定。,,https://www.jector.com/,株式会社ねこじゃらし,,,,,サービス提供,,,,,新型コロナウイルス感染症,クラウドストレージサービス,,,,2020-03-17,,,,その他,情報通信,,日本インターネットプロバイダー協会,,
,,,,17Live(イチナナライブ),,"個人, 企業等, 教育機関","生活関連サービス、娯楽, コミュニケーション",,,,,,ライブ配信を行う“ライバー”とそれを視聴するオーディエンスが直接対面することなくコミュニケーションを取ることが可能なサービスです。イベントや試合の中止・延期や施設の休園等といった影響に対して、当社のメインサービスであるライブ配信事業やそれに伴うノウハウやサービスを提供させていただきます。,,,2020/2/28,,終了時期未定,,https://17media.jp/pressrelease/5631/,株式会社17 Media Japan,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,Live配信,,,,2020-03-17,,,,無料,イベント支援,,その他,,
,,,,SecureRemoteDesktop（セキュアリモートデスクトップ）,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,自宅や外出先からいつでも安全かつ高速に、会社のPCをリモートで操作できるサービスです。会社のパソコンにエージェントをインストールするだけで、手軽に即時にテレワーク環境が実現でき、二重化されたログイン認証、標準暗号化されたパソコン間の通信など、セキュリティ対策も万全なサービスです。,,,,,,,https://www.ags.co.jp/service/remotedesktop.html,AGS株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-17,,,,割引,,,全国地域情報化推進協会（APPLIC）,,
,,,,個人利用無料のコワーキングスペース,,"個人, 企業等, 教育機関","教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション, その他",,,,,,"個人利用無料のコワーキングスペースを運営しています。
3名以上の利用は1グループ1時間につき1000円の利用料が発生します。
※18歳未満の利用費はかかりません。
",,,,,大人だけでなく子どもたちも使える多目的スペースです。,,https://www.city.tochigi.lg.jp/site/kosodatekyouiku/13667.html,ベビカム株式会社,,,,,現物支給・貸与,,,現物支給・貸与,,新型コロナウイルス感染症,テレワーク,,,,2020-03-17,,,,無料,オフィスなどの空間,,インターネット協会,,
,,,,Web会議システム等の導入支援（Office365）,,企業・組織・教育関係などへの提供,ワークスタイル（テレワーク含む）,,,,,,会員登録のみで無料・有料で利用できるWeb会議（テレビ会議）システムを使ったテレワークの導入支援をおこなっています。現地にお伺いするケースもありますが、Web会議を中心に操作の説明や運用の仕方などをアドバイスさせて頂きます。普段は主にMicrosoft Office 365を使った企業や組織のメールやファイル共有、ポータルサイト、Web会議システムなどのトータルな導入支援をおこなっています。NPOや非営利団体・教育関連につきましては、無償・一部有償でサービスも提供しています。弊社は小さな会社であり、現在も東京等で上記のサービスを利用頂いておりますが、テレワーク支援情報の登録にあたり、主に三重県を中心に対応させて頂きます。,,,2018/8/1,,,,https://miraico.co.jp,みらいこ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-01,,,,割引,ビデオ会議,,地方版IoT推進ラボ事務局,,
,,,,OneOffice　スマートコネクト,,企業等,ワークスタイル（テレワーク含む）,,,,,,"OneOffice スマートコネクトは社外のモバイル端末から、オフィス内の会社PCにインターネットを経由してアクセスし、遠隔操作ができるリモートアクセスサービスです。
オフィスPCを遠隔操作するため、社外でもメールやスケジュール確認、ワークフロー承認やファイルサーバ利用など、オフィスPCで行っていた業務を簡単・安全に行うことができます。
",,,,,,,http://www.oneoffice.jp/service/smartconnect/,株式会社ＴＯＫＡＩコミュニケーションズ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,無料,,,地方版IoT推進ラボ事務局,,
,,,,ネットワークプリント for Biz,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワーク時のプリント手段として、ＰＣやタブレット、スマートフォンから登録した文書・写真・図面をコンビニのマルチコピー機で印刷できるサービスです。 （プリント代は別途必要）,,,(開始済み),,20アカウントを２ヶ月間無償提供,,https://www.sharp-sbs.co.jp/networkprint-biz/,シャープマーケティングジャパン(株),,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,割引,,,電子情報技術産業協会（JEITA）,,
,,,,テレワーク相談,,企業等,ワークスタイル（テレワーク含む）,,,,,,NECネッツエスアイでは新型コロナウィルス感染拡大防止期間中、首都圏在住の社員の約８割がテレワークを実践しています。自社実践例を元にテレワークについてお困りの企業様のご相談を可能な限り承ります。ご相談事項はEメールにて<info-mkt@dm.nesic.com>宛にご連絡ください。,,,2020/3/11,,,,https://symphonict.nesic.co.jp/hatarakikata/,NECネッツエスアイ株式会社,,,,,その他,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,,,日本テレワーク協会,,
,,,,ウェブ会議サービス「Zoom」／無償トライアル1ヶ月,,企業等,ワークスタイル（テレワーク含む）,,,,,,1年間のZoom有償ライセンスご購入の際に、1ヶ月分無償トライアルとしてご提供します。,,,2020/3/11,,1ヶ月間無償トライアル,,https://www.nesic.co.jp/zoom/,NECネッツエスアイ株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,割引,ビデオ会議,,日本テレワーク協会,,
,,,,大臣スマート打刻サービス,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,PC、タブレット、スマートフォンを使って打刻を行い、クラウド上で打刻データを管理できるサービスです。打刻データはクラウド上にアップロードされ、インターネットに接続されている環境であればどこからでも確認が可能です。,,,,,利用開始から６０日間,,http://www.ohken.co.jp/product/dsd/,応研株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-19,,,,無料,,,コンピュータソフトウェア協会,,
,,,,code room,,"個人, 企業等, 教育機関",教育・学習支援,,,,,,"プログラミングを教えることに最適化されたツールです。
リアルタイムに共同編集できるエディターとチャットで隣で教えあっているような質問、教育環境を実現します。",,,2020/3/23,,終了時期未定,,https://code-room.io,株式会社Miraie,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンラインプログラミング学習支援ツール,,,,2020-03-19,,,,無料,オンライン授業,,その他,,
